scenarioId_A,scenarioId_B,graphEditDistance,entityPositionDistance,jaccardRoomConnectivity,roleDistributionDistance,depthProfileDistance,doorStateDistance,furnitureCountDistance
0225230d-0887-4698-8bca-5fb37c36f3b0,278ad5a6-1db2-4cf4-9052-d7a3154a86a3,2.0000,11.3633,0.5000,2.0000,2.0000,0.0000,0.1538
0225230d-0887-4698-8bca-5fb37c36f3b0,41eaf228-eb3d-41c0-a7f4-7eec9d07a65e,2.0000,8.6237,0.5000,2.0000,2.0000,0.0000,0.2692
0225230d-0887-4698-8bca-5fb37c36f3b0,bdf1e86d-2f27-483f-87fc-d21daa366ac3,2.0000,11.0516,0.5000,2.0000,2.0000,0.0000,0.1923
0225230d-0887-4698-8bca-5fb37c36f3b0,add728c6-2920-4318-abd4-14383ff81e57,0.0000,12.0586,1.0000,0.0000,0.0000,0.6667,0.0000
0225230d-0887-4698-8bca-5fb37c36f3b0,c565b010-7cc0-44a5-a917-f15cf1b9d565,0.0000,10.4486,1.0000,0.0000,0.0000,0.6667,0.0714
0225230d-0887-4698-8bca-5fb37c36f3b0,5db80703-deff-43d5-9523-9ceb342af513,2.0000,9.8277,0.5000,2.0000,2.0000,0.6667,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,ecd283b8-518c-49fb-95a1-9d93d8fb7dd0,2.0000,13.3043,0.5000,2.0000,2.0000,0.6667,0.1923
0225230d-0887-4698-8bca-5fb37c36f3b0,6bb83221-af54-4c04-9a3c-048a45a2bc3b,0.0000,7.6542,1.0000,0.0000,0.0000,0.0000,0.2121
0225230d-0887-4698-8bca-5fb37c36f3b0,f4ecb26e-df46-4218-865b-d72f99d409c7,2.0000,11.4842,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,4f4cdc05-a5b4-4c50-ae65-74556b05617d,0.0000,3.5914,1.0000,0.0000,0.0000,0.0000,0.1875
0225230d-0887-4698-8bca-5fb37c36f3b0,1322b659-2d86-4c00-a366-80d6ee3de151,0.0000,7.7804,1.0000,0.0000,0.0000,0.6667,0.0000
0225230d-0887-4698-8bca-5fb37c36f3b0,e3245c5e-c846-41d5-9578-04c15194059d,0.0000,7.7858,1.0000,0.0000,0.0000,0.0000,0.0370
0225230d-0887-4698-8bca-5fb37c36f3b0,81091e0f-cfd2-47e2-87d2-1d8ee82f33c9,2.0000,10.3101,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,5b537ac8-53f5-4603-b88c-b49251c7d743,0.0000,8.6287,1.0000,0.0000,0.0000,0.0000,0.0000
0225230d-0887-4698-8bca-5fb37c36f3b0,ad9063b4-f3ca-4394-ae49-12998ffc2953,0.0000,5.8685,1.0000,0.0000,0.0000,0.6667,0.1613
0225230d-0887-4698-8bca-5fb37c36f3b0,98d0de61-1e43-4d11-843b-b65b40b4a310,0.0000,9.7562,1.0000,0.0000,0.0000,0.0000,0.1034
0225230d-0887-4698-8bca-5fb37c36f3b0,d489175a-a2b9-4275-a844-c0a7595f6c6c,2.0000,8.4608,0.5000,2.0000,2.0000,0.6667,0.2692
0225230d-0887-4698-8bca-5fb37c36f3b0,d33f54a2-04be-4ddf-a932-257726c5ba45,2.0000,12.6532,0.5000,2.0000,2.0000,0.0000,0.1538
0225230d-0887-4698-8bca-5fb37c36f3b0,81e95390-a08c-4c32-874a-b5e8a480db8b,2.0000,7.0514,0.5000,2.0000,2.0000,0.0000,0.0385
0225230d-0887-4698-8bca-5fb37c36f3b0,822d2d7b-26f6-4792-b0c0-e12d1539680d,2.0000,6.2390,0.5000,2.0000,2.0000,0.6667,0.2308
0225230d-0887-4698-8bca-5fb37c36f3b0,2d9b2d41-ad5a-434a-83ba-06a066c79187,0.0000,9.1891,1.0000,0.0000,0.0000,0.6667,0.1333
0225230d-0887-4698-8bca-5fb37c36f3b0,efc2921a-beff-435b-a8d6-3ba997f3695f,0.0000,9.0852,1.0000,0.0000,0.0000,0.6667,0.0370
0225230d-0887-4698-8bca-5fb37c36f3b0,f31bcd1e-36c2-41fb-a0e6-4c4ca364699a,2.0000,5.0314,0.5000,2.0000,2.0000,0.6667,0.1923
0225230d-0887-4698-8bca-5fb37c36f3b0,5e082587-4d94-4d58-97b7-6e3c3eb1ddae,2.0000,11.1106,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,bea258d2-99c3-4e01-93ff-a2f0c8383986,2.0000,11.3798,0.5000,2.0000,2.0000,0.0000,0.0769
0225230d-0887-4698-8bca-5fb37c36f3b0,c1dc3dfc-38d8-4c78-b921-02c2af7fa64c,0.0000,2.9138,1.0000,0.0000,0.0000,0.6667,0.0370
0225230d-0887-4698-8bca-5fb37c36f3b0,ef9ce2e6-61f7-40f9-9983-3d6b566c76a0,0.0000,7.5853,1.0000,0.0000,0.0000,0.6667,0.0000
0225230d-0887-4698-8bca-5fb37c36f3b0,b3f89901-90e1-41c7-8128-d7df953fcd16,0.0000,9.8674,1.0000,0.0000,0.0000,0.6667,0.0370
0225230d-0887-4698-8bca-5fb37c36f3b0,60159ef5-b436-4987-b518-fb7784d75295,2.0000,12.6209,0.5000,2.0000,2.0000,0.0000,0.2308
0225230d-0887-4698-8bca-5fb37c36f3b0,136b309a-3b88-4ba0-a930-08fcb3a43e10,2.0000,11.7943,0.5000,2.0000,2.0000,0.0000,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,14a7780e-4a88-4380-ac25-a5ac86cae5f8,2.0000,12.0823,0.5000,2.0000,2.0000,0.6667,0.0385
0225230d-0887-4698-8bca-5fb37c36f3b0,a8f6ffa1-96ae-4a1c-a5f2-b42e86d8b134,0.0000,7.8646,1.0000,0.0000,0.0000,0.0000,0.0714
0225230d-0887-4698-8bca-5fb37c36f3b0,5562fe35-4fea-4bad-8b73-095ca7b233bf,2.0000,12.4692,0.5000,2.0000,2.0000,0.6667,0.1923
0225230d-0887-4698-8bca-5fb37c36f3b0,d6419248-aa52-4902-b7f2-752b9213f72a,0.0000,3.6959,1.0000,0.0000,0.0000,0.6667,0.1034
0225230d-0887-4698-8bca-5fb37c36f3b0,850b4382-6847-469f-800c-83f54a788322,0.0000,9.0545,1.0000,0.0000,0.0000,0.6667,0.0000
0225230d-0887-4698-8bca-5fb37c36f3b0,8a1d116e-336e-4047-a8f2-f8d1ad381ec5,2.0000,9.3712,0.5000,2.0000,2.0000,0.6667,0.0385
0225230d-0887-4698-8bca-5fb37c36f3b0,4449d07e-de4e-4e14-91c5-12d6c6243783,2.0000,12.7795,0.5000,2.0000,2.0000,0.6667,0.1923
0225230d-0887-4698-8bca-5fb37c36f3b0,96382cd9-0225-4c6a-83a7-8102d81f4a9f,2.0000,11.3923,0.5000,2.0000,2.0000,0.0000,0.0769
0225230d-0887-4698-8bca-5fb37c36f3b0,48852052-2ff7-40bc-95f5-2447c238356b,0.0000,7.7725,1.0000,0.0000,0.0000,0.6667,0.1034
0225230d-0887-4698-8bca-5fb37c36f3b0,21733712-9af9-42c5-81e7-b27afb513afc,2.0000,7.0690,0.5000,2.0000,2.0000,0.6667,0.1538
0225230d-0887-4698-8bca-5fb37c36f3b0,ebc7f9c0-d6a0-4a83-b0d2-85294936a0de,2.0000,12.2505,0.5000,2.0000,2.0000,0.0000,0.1923
0225230d-0887-4698-8bca-5fb37c36f3b0,ece03f20-c6d3-4de3-892c-f466e8c9dfdd,2.0000,11.0415,0.5000,2.0000,2.0000,0.6667,0.3077
0225230d-0887-4698-8bca-5fb37c36f3b0,5d7e66fd-567c-4c7b-bad1-721092a0f093,0.0000,6.0848,1.0000,0.0000,0.0000,0.6667,0.0370
0225230d-0887-4698-8bca-5fb37c36f3b0,08081778-6a61-4d7c-b10d-3e7d38db69cd,2.0000,10.5446,0.5000,2.0000,2.0000,0.0000,0.0769
0225230d-0887-4698-8bca-5fb37c36f3b0,80bc45df-c560-4d47-ade6-b68a09c0ed3e,2.0000,10.3048,0.5000,2.0000,2.0000,0.6667,0.1923
0225230d-0887-4698-8bca-5fb37c36f3b0,5a90809f-6635-4db4-9ca8-e2d8d99fda4b,2.0000,11.0300,0.5000,2.0000,2.0000,0.6667,0.0769
0225230d-0887-4698-8bca-5fb37c36f3b0,b67086b5-e728-48d9-9599-2e9fc7198c9f,0.0000,5.5045,1.0000,0.0000,0.0000,0.6667,0.0769
0225230d-0887-4698-8bca-5fb37c36f3b0,5ddaa87a-fa2d-40e6-ace8-81ffbf6e2fc4,0.0000,8.1635,1.0000,0.0000,0.0000,0.6667,0.0714
0225230d-0887-4698-8bca-5fb37c36f3b0,3d3d0b22-bfab-4069-b22a-4e027bd1febb,2.0000,12.0369,0.5000,2.0000,2.0000,0.6667,0.2308
0225230d-0887-4698-8bca-5fb37c36f3b0,a2858996-b002-4456-bbb5-1c3ac7566d9b,2.0000,11.4089,0.5000,2.0000,2.0000,0.6667,0.0769
0225230d-0887-4698-8bca-5fb37c36f3b0,91c12e9e-fe4f-4684-963e-f538982541fc,0.0000,8.6365,1.0000,0.0000,0.0000,0.6667,0.0385
0225230d-0887-4698-8bca-5fb37c36f3b0,0ef03ad8-f62d-4752-b507-5efda0becd0e,2.0000,9.6691,0.5000,2.0000,2.0000,0.6667,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,0672d10d-ab7c-4493-84c7-2aa11711d26b,2.0000,9.1791,0.5000,2.0000,2.0000,0.6667,0.1154
0225230d-0887-4698-8bca-5fb37c36f3b0,27985a29-cee6-416f-9d9b-7ac51474e36f,2.0000,6.1763,0.5000,2.0000,2.0000,0.0000,0.2308
0225230d-0887-4698-8bca-5fb37c36f3b0,ace910eb-2432-43dd-ad74-fc672c94d154,0.0000,8.0226,1.0000,0.0000,0.0000,0.6667,0.0385
