roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.4147,0.8333,5.1285,2.0567,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,20,5.0000,0.0671,4,branching,medium,single,4,3,dispersed,medium,3,medium,1823692131,a0dee3e4-17c8-4952-9a5e-f7e00de2c6da,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.6451,1.0000,5.7471,2.1482,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,21,5.2500,0.0867,4,branching,medium,single,4,3,dispersed,medium,3,medium,656799287,e568f66a-4e98-45aa-a567-d49857ba47ca,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.3122,1.0000,6.2821,2.2937,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,17,4.2500,0.0528,4,branching,medium,single,4,3,dispersed,medium,3,medium,745326568,d5b54595-4da5-455e-80c0-b838edf352c1,true,,
4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,8.8462,0.8333,5.5655,1.9712,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,21,5.2500,0.0688,4,branching,medium,single,4,3,dispersed,medium,3,medium,1031164670,9b8b1129-7f7e-473e-b453-ce609085a01a,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.5343,0.6667,9.3831,2.2855,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,16,4.0000,0.0518,4,branching,medium,single,4,3,dispersed,medium,3,medium,2017609246,15ca9189-d4ab-481c-bb76-26ebe43c778b,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.5692,0.6667,9.7860,3.1687,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,17,4.2500,0.0672,4,branching,medium,single,4,3,dispersed,medium,3,medium,1758730579,3c3737c6-1747-43c3-8c37-39193e34a3da,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.7691,0.3333,13.2971,2.7399,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,16,4.0000,0.0485,4,branching,medium,single,4,3,dispersed,medium,3,medium,1124489132,6ab918a9-25bb-433f-973b-42eb71d18a05,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,10.8750,0.3333,16.0501,3.2845,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,18,4.5000,0.0618,4,branching,medium,single,4,3,dispersed,medium,3,medium,620146788,ce0f9405-de97-49e3-b511-87bdc626070c,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.6669,0.3333,11.7638,2.0692,0.2500,1.5000,2.0000,1,1,0,1,0.2500,0.6667,18,4.5000,0.0554,4,branching,medium,single,4,3,dispersed,medium,3,medium,931411530,cc74f230-da33-43f0-9a53-02ea4e46bf1c,true,,
4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.2048,0.6667,9.2427,2.2551,0.2500,1.5000,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0397,4,branching,medium,single,4,3,dispersed,medium,3,medium,1342149697,33237f3d-9657-4c62-96d7-589aa9e63831,true,,
