variedParameter,parameterValue,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.5420,1.0000,7.2675,2.5089,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0319,4,linear,medium,single,4,3,dispersed,medium,3,medium,1920008122,350979a8-4d64-40b2-b787-60f764a62b0a,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,14.3959,1.0000,6.8012,2.1020,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,14,3.5000,0.0452,4,linear,medium,single,4,3,dispersed,medium,3,medium,1917022653,9eb6a7e2-68b7-45b9-aed4-68e70ce8cf48,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,1,1,1,0.3333,13.6958,0.6667,8.4659,2.1897,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0364,4,linear,medium,single,4,3,dispersed,medium,3,medium,1599973479,6f1524e6-0007-4063-91fd-f0b896a6815d,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,1,1,1,0.3333,9.0492,0.8333,6.6775,2.4747,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,10,2.5000,0.0253,4,linear,medium,single,4,3,dispersed,medium,3,medium,1947895076,fa61e3c2-dc26-4bc6-a6ae-6f3a75c3d329,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.4495,1.0000,6.8305,2.1760,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,11,2.7500,0.0321,4,linear,medium,single,4,3,dispersed,medium,3,medium,1809242085,3c6fd342-5e79-4c16-a52d-254a36211637,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,15.5744,0.8333,7.4731,2.1310,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0430,4,linear,medium,single,4,3,dispersed,medium,3,medium,1217125783,a3781cf3-4f80-4aa1-b0c7-49aa88ab54b6,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,17.9256,0.6667,8.7134,2.2265,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,11,2.7500,0.0298,4,linear,medium,single,4,3,dispersed,medium,3,medium,901394347,17211012-ec5e-420b-95f5-d8565b5b3e04,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,13.9162,0.6667,9.1392,2.3094,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0354,4,linear,medium,single,4,3,dispersed,medium,3,medium,627381243,e934cdc4-0d81-42b8-a168-551500449316,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,14.1357,0.8333,7.0051,2.3038,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,12,3.0000,0.0400,4,linear,medium,single,4,3,dispersed,medium,3,medium,1462770712,060f4781-61fa-46b7-a540-ea0e63bfdc31,true,,
layoutType,linear,4,3,1.5000,3,3,0.0000,1,0,2,1,0.3333,18.3258,0.6667,8.4809,2.3732,0.6875,2.2500,3.0000,1,1,0,1,0.5000,1.0000,13,3.2500,0.0334,4,linear,medium,single,4,3,dispersed,medium,3,medium,778439954,e209dc83-d0c7-4e19-9d02-6604264078e2,true,,
