difficultyBatch,roomCount,doorCount,avgConnectivity,graphDiameter,maxDepth,cyclicityMeasure,entryPointCount,doorsOpen,doorsClosed,doorsLocked,lockedDoorFraction,avgEntityDistanceFromEntry,entityClusteringCoefficient,avgHostageTerroristDistance,minHostageTerroristDistance,entityDepthVariance,avgEntityDepth,avgPatrolRouteLength,stationaryGuardCount,patrolCount,roamingGuardCount,hostageGuardianCount,patrolCoverage,avgWaypointCount,totalFurnitureCount,avgFurniturePerRoom,furnitureFloorCoverage,furnishedRoomCount,layoutType,roomSizeCategory,entryType,configRoomCount,configTerroristCount,placementStrategy,hostageRiskLevel,difficultyLevel,randomnessLevel,seedUsed,scenarioId,validationPassed,validationWarnings,errorMessage
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.3998,0.5000,6.9934,1.5280,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,22,5.5000,0.0876,4,branching,medium,single,4,3,dispersed,medium,1,medium,2016324113,20e9005d-8394-414d-9d5e-e285676c725c,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.2554,0.3333,12.3055,1.5537,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.3333,18,4.5000,0.0581,4,branching,medium,single,4,3,dispersed,medium,1,medium,1029762372,eecc1672-dc0f-487d-bcf0-94904cfe7ccd,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.7897,1.0000,5.9277,1.5663,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,17,4.2500,0.0453,4,branching,medium,single,4,3,dispersed,medium,1,medium,307136743,e196804a-f9f8-4acf-831f-57b5795a8cc0,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.3849,0.3333,13.3085,1.7470,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.3333,16,4.0000,0.0675,4,branching,medium,single,4,3,dispersed,medium,1,medium,717141835,532dddd6-55c4-408f-88e3-666d2f826ba7,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.8347,0.8333,8.2672,1.5235,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,20,5.0000,0.0708,4,branching,medium,single,4,3,dispersed,medium,1,medium,1600874924,584cd76b-a545-4f16-880e-1331a2a43429,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.4588,0.6667,10.2679,8.1229,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,20,5.0000,0.0671,4,branching,medium,single,4,3,dispersed,medium,1,medium,675520987,96d64a83-00a0-4db3-a6ec-3c46dffded1d,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.5909,0.6667,9.1117,1.5186,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.6667,17,4.2500,0.0434,4,branching,medium,single,4,3,dispersed,medium,1,medium,678299562,dd96e26d-135b-4023-95f1-43e3bdfd8008,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.1748,0.6667,8.7666,1.7122,0.2500,1.5000,3.0000,0,1,1,1,0.5000,1.6667,20,5.0000,0.0689,4,branching,medium,single,4,3,dispersed,medium,1,medium,634615698,7d1763a0-8f59-46c7-a476-649c6034469e,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,11.9303,0.6667,8.9661,1.7491,0.2500,1.5000,3.0000,0,1,1,1,0.5000,1.6667,20,5.0000,0.0811,4,branching,medium,single,4,3,dispersed,medium,1,medium,1994129894,82990485-1a69-423c-bbe3-9c859199d65c,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,9.5586,1.0000,6.2559,2.0512,0.2500,1.5000,3.0000,0,1,1,1,0.5000,1.6667,16,4.0000,0.0571,4,branching,medium,single,4,3,dispersed,medium,1,medium,214730211,d504fe57-de0d-4605-9c52-fa04ce6c765b,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,8.8085,1.0000,6.6929,3.1864,0.2500,1.5000,3.0000,0,1,1,1,0.5000,2.0000,16,4.0000,0.0552,4,branching,medium,single,4,3,dispersed,medium,1,medium,1231899188,73db739b-e6d0-478e-b07b-57bac84def86,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.7793,0.8333,12.5552,10.7157,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,25,6.2500,0.0990,4,branching,medium,single,4,3,dispersed,medium,1,medium,361129211,2a1a8072-781a-440d-9d39-dd9093163453,true,,
1,4,3,1.5000,2,1,0.0000,1,0,2,1,0.3333,7.7710,0.3333,10.5524,1.5127,0.0000,1.0000,2.0000,0,1,1,1,0.2500,1.3333,21,5.2500,0.0726,4,branching,medium,single,4,3,dispersed,medium,1,medium,2008455373,0b7d7395-3582-486d-af45-015656ddc4be,true,,
1,4,3,1.5000,3,2,0.0000,1,0,2,1,0.3333,12.5144,0.3333,13.4275,1.5089,0.2500,1.5000,2.0000,0,1,1,1,0.2500,1.3333,18,4.5000,0.0676,4,branching,medium,single,4,3,dispersed,medium,1,medium,1017632834,fe7a9a5e-22b8-4ec5-97aa-c16aa20940ca,true,,
