parameter,metric,p | effect (name)
layoutType,avgConnectivity,<0.0001 | 1.000 (large)
layoutType,cyclicityMeasure,<0.0001 | 1.000 (large)
layoutType,graphDiameter,<0.0001 | 0.765 (large)
layoutType,maxDepth,<0.0001 | 0.890 (large)
layoutType,patrolCoverage,<0.0001 | 0.758 (large)
roomCount,roomCount,<0.0001 | 1.000 (large)
roomCount,graphDiameter,<0.0001 | 0.734 (large)
roomCount,maxDepth,<0.0001 | 0.182 (large)
roomCount,totalFurnitureCount,<0.0001 | 0.611 (large)
roomCount,patrolCoverage,<0.0001 | 0.190 (large)
roomSize,avgEntityDistanceFromEntry,<0.0001 | 0.689 (large)
roomSize,avgFurniturePerRoom,<0.0001 | 0.878 (large)
roomSize,furnitureFloorCoverage,<0.0001 | 0.312 (large)
roomSize,minHostageTerroristDistance,<0.0001 | 0.549 (large)
placementStrategy,avgEntityDistanceFromEntry,<0.0001 | 0.248 (large)
placementStrategy,entityClusteringCoefficient,<0.0001 | 0.327 (large)
placementStrategy,entityDepthVariance,<0.0001 | 0.420 (large)
placementStrategy,avgEntityDepth,<0.0001 | 0.278 (large)
terroristCount,patrolCount,<0.0001 | 1.000 (large)
terroristCount,stationaryGuardCount,<0.0001 | 0.546 (large)
terroristCount,roamingGuardCount,<0.0001 | 0.801 (large)
terroristCount,avgPatrolRouteLength,<0.0001 | 0.901 (large)
terroristCount,patrolCoverage,<0.0001 | 0.901 (large)
entryType,entryPointCount,<0.0001 | 1.000 (large)
entryType,avgConnectivity,n/a | 0.000
entryType,doorsOpen,n/a | 0.000
